id,name,phone_number,email,password,total_member_points
1,Latoya White,(544)769-5459x220,jack72@example.org,%5KEiNkt$m,912
2,Ronald Bowen,618.741.7995x034,jessica19@example.org,^Gj7On^eS2,185
3,Emily Weiss,001-700-670-7807x208,steven74@example.net,3^D5Ke$)$w,346
4,Johnny Harmon,001-434-599-9034x158,barkercheryl@example.net,YG71PbdAi%,111
5,Erin Sweeney,952-436-4937,kyleyoung@example.org,F&n5@YG3Vc,780
6,Joshua Jones,(969)923-1458x53451,ilam@example.org,_f1fW$dLfv,7
7,Tiffany Torres,479-754-6487,perrysonya@example.com,@zsfPJjar0,452
8,Kenneth Williams,438-260-6369,gmack@example.net,QxzR5QIkY$,7
9,Alexandra Fuentes,891-738-6972x7312,stevenscott@example.org,U6er9@ClN#,974
10,Charles Miller,001-412-913-3973x811,xsmith@example.org,w5AtoXid^z,63
11,Ricardo Morris,302.700.6465x04261,bli@example.org,%Q1KD3jxce,214
12,Robert Ramirez,828-375-0141x8754,qbrown@example.org,cc!4LvIq!k,281
13,Wanda Taylor,290.217.8999,osborneanthony@example.org,G@V9oNszN$,541
14,Daniel Davis,+1-226-604-4262x957,henry30@example.net,MwX3ZrNl_8,59
15,Kenneth King,6888009605,richard53@example.org,%5Aqtr1k9!,285
16,Jimmy Johnson,464.851.5630,cfuentes@example.org,P3rSLZPd*D,884
17,Richard Gentry,+1-283-395-5045x75714,chavezbrent@example.net,m%Y4A@0s24,343
18,Travis Vargas,593-273-9930,joanna05@example.com,n82p6Hvx+H,467
19,Alyssa Johnson,4682822952,yoconnor@example.com,$9WGpsnehZ,678
20,Brian Griffin,001-862-901-2273,jennifer46@example.org,(^6iGQRl^h,331
21,Jose Moore,907-362-5310x31958,ktodd@example.org,jKP1E!n25!,723
22,Mackenzie Johnson,(237)792-8824x755,xweber@example.org,%LVJO+pbm8,871
23,Gabriela Clark,(247)911-1849x245,marcus17@example.org,GsFa6Ck4#A,419
24,Charles Dalton,281-658-8736x36079,gwelch@example.com,$pja(3Lo3C,961
25,Leslie Smith,(724)444-9905,harrisjoseph@example.com,+$aOcV0vW6,543
26,Ronald Montoya,398.976.0299,bjones@example.org,0sR&Arov(F,9
27,Mitchell Vazquez,939-743-0296x9685,karen68@example.org,WLq0ORe8_7,712
28,Brandon Mason,535-267-7970x00506,twhite@example.net,3Xw9YbE_a#,25
29,Wesley Myers,+1-777-939-1168x810,freed@example.org,&aDt7ZAfma,264
30,Shannon Sandoval,+1-576-798-0123x1636,michelle22@example.com,w70Wy$OjQ&,967
31,Sarah Espinoza,599-638-9690x2587,daustin@example.org,O8alHcmY@b,979
32,Joshua Johnson,267-622-7849x16088,kvilla@example.com,d@6%YbX$Wj,68
33,Scott Fisher,-2945,cjohnson@example.com,pZmVaKqz)9,20
34,Rachel Brady,914.295.9741x07846,steven94@example.net,w#1WbfAdAs,890
35,Shannon Jones,402-986-0187x92575,stewartrandy@example.org,3rqZrTyV%3,678
36,Dustin Hampton,523-991-5570x416,kathleenmyers@example.net,tfn!9pCb_8,987
37,Jenna Barnett,(313)562-8539,uperez@example.org,!2Ra(s@MVS,796
38,Elizabeth Riggs,001-333-913-6838x77405,diana44@example.com,77KShVOI_u,962
39,Christina Miller,751.807.8719x6951,ypratt@example.org,%sqPXe&DY9,512
40,Kelly Smith,9452534319,anna42@example.com,m%5pwp6whA,224
41,Krystal Dodson,551.718.8722,iweber@example.com,(JneR^jqC6,847
42,Eric Schneider,5733112385,jpetersen@example.com,$2qh#YCt*F,541
43,Christopher Khan,+1-440-692-3440x1767,scotthill@example.org,iQ3oFZa#_b,744
44,Robert Jones,891-583-7409x01584,brianawood@example.net,!^7yiLpVbf,491
45,Katherine Martin,4598884375,wmeyer@example.org,*0xpQJ%4Sd,276
46,Erin Gonzalez,(223)973-0889,chadmueller@example.org,Hz+3Qd3^b%,630
47,Ryan Berg,825-551-0467x5760,jasmine19@example.net,N!7O$rglvr,558
48,Lauren Sims,472.755.4985,schmitttony@example.net,q1_3FGeg%M,731
49,Pamela Anderson,839-206-5733x334,rachel71@example.com,N)0%zC3g%h,993
50,John Burke,(821)783-4689,kelsey35@example.org,E3Kb6iFI)Y,427
51,Todd Soto,(279)338-7869,nathanmitchell@example.org,%3B0&q)1$!,561
52,Leslie Simmons,446.628.9473,gglover@example.com,@Je&TU781d,88
53,Mary Farley,001-976-763-4015,evanskevin@example.org,B+z&C6Wtns,38
54,Shannon Bradshaw,643.605.8942,bethany23@example.org,9x8yQnj&#%,278
